INFO:root:Scraping for search term tomography
INFO:root:Scraping for search term tomography
INFO:root:Scraping for search term tomography
INFO:root:Scraping for search term tomography
INFO:root:Adding one toshed lightnew mentions total10.0
INFO:root:Adding one tomajor challengenew mentions total7.0
INFO:root:Adding one togeneral linearnew mentions total8.0
INFO:root:Adding one tolarge numbernew mentions total23.0
INFO:root:Adding one toneural networknew mentions total22.0
INFO:root:Adding one tomild cognitive impairmentnew mentions total39.0
INFO:root:Adding one tocognitive declinenew mentions total22.0
INFO:root:Adding one tobreast cancernew mentions total185.0
INFO:root:Adding one toionizing radiationnew mentions total41.0
INFO:root:Adding one toradiation dosenew mentions total79.0
INFO:root:Adding one todose reductionnew mentions total23.0
INFO:root:Adding one tocomputer tomographynew mentions total19.0
INFO:root:Adding one toneural networknew mentions total23.0
INFO:root:Adding one toneural networksnew mentions total11.0
INFO:root:Adding one toet alnew mentions total42.0
INFO:root:Adding one toet alnew mentions total43.0
INFO:root:Adding one toexisting methodsnew mentions total7.0
INFO:root:Adding one toimages takennew mentions total13.0
INFO:root:Adding one totumor volumenew mentions total25.0
INFO:root:Adding one toquantitative imagingnew mentions total11.0
INFO:root:Adding one topreviously publishednew mentions total33.0
INFO:root:Adding one tototal numbernew mentions total26.0
INFO:root:Adding one toneural networknew mentions total29.0
INFO:root:Adding one togood qualitynew mentions total14.0
INFO:root:Adding one toneural networknew mentions total30.0
INFO:root:Adding one topoor qualitynew mentions total11.0
INFO:root:Adding one toet alnew mentions total41.0
INFO:root:Adding one tomajor challengenew mentions total8.0
INFO:root:Adding one toultrasound imagesnew mentions total35.0
INFO:root:Adding one toet alnew mentions total42.0
INFO:root:Adding one torecent advancesnew mentions total50.0
INFO:root:Adding one toreview discussnew mentions total8.0
INFO:root:Adding one toquantitative imagingnew mentions total12.0
INFO:root:Adding one torecently developednew mentions total29.0
INFO:root:Adding one towhole bodynew mentions total20.0
INFO:root:Adding one tohuman bodynew mentions total11.0
INFO:root:Adding one toet alnew mentions total43.0
INFO:root:Adding one toradiation dosenew mentions total76.0
INFO:root:Adding one tochronic obstructive pulmonary diseasenew mentions total35.0
INFO:root:Adding one topulmonary function testsnew mentions total23.0
INFO:root:Adding one toanalysis identifiednew mentions total16.0
INFO:root:Adding one tomass spectrometrynew mentions total28.0
INFO:root:Adding one totumor responsenew mentions total16.0
INFO:root:Adding one tolarge numbernew mentions total28.0
INFO:root:Adding one tolumbar spinenew mentions total75.0
INFO:root:Adding one toimaging techniquesnew mentions total91.0
INFO:root:Adding one toimaging techniquenew mentions total44.0
INFO:root:Adding one totemporal resolutionnew mentions total29.0
INFO:root:Adding one towell knownnew mentions total25.0
INFO:root:Adding one topaper proposenew mentions total14.0
INFO:root:Adding one toaortic valve replacementnew mentions total23.0
INFO:root:Adding one toascending aortanew mentions total13.0
INFO:root:Adding one tomajor challengenew mentions total9.0
INFO:root:Adding one tofinite elementnew mentions total25.0
INFO:root:Adding one topulmonary nodulesnew mentions total7.0
INFO:root:Adding one toet alnew mentions total44.0
INFO:root:Adding one toimaging techniquenew mentions total45.0
INFO:root:Adding one toet alnew mentions total45.0
INFO:root:Adding one tobreast cancernew mentions total217.0
INFO:root:Adding one toneural networknew mentions total32.0
INFO:root:Adding one toneural networksnew mentions total10.0
INFO:root:Adding one toearly detectionnew mentions total65.0
INFO:root:Adding one tovalues obtainednew mentions total22.0
INFO:root:Adding one toneural networknew mentions total33.0
INFO:root:Adding one toet alnew mentions total42.0
INFO:root:Adding one towell understoodnew mentions total22.0
INFO:root:Adding one topreviously publishednew mentions total30.0
INFO:root:Adding one tofinite elementnew mentions total33.0
INFO:root:Adding one toexisting methodsnew mentions total9.0
INFO:root:Adding one toimages takennew mentions total15.0
INFO:root:Adding one totumor volumenew mentions total49.0
INFO:root:Adding one toquantitative imagingnew mentions total13.0
INFO:root:Adding one topreviously publishednew mentions total31.0
INFO:root:Adding one tototal numbernew mentions total24.0
INFO:root:Adding one toneural networknew mentions total34.0
INFO:root:Adding one togood qualitynew mentions total9.0
INFO:root:Adding one toneural networknew mentions total35.0
INFO:root:Adding one topoor qualitynew mentions total10.0
INFO:root:Adding one toet alnew mentions total43.0
INFO:root:Adding one tomajor challengenew mentions total15.0
INFO:root:Adding one toultrasound imagesnew mentions total42.0
INFO:root:Adding one toet alnew mentions total44.0
INFO:root:Adding one torecent advancesnew mentions total46.0
INFO:root:Adding one toreview discussnew mentions total13.0
INFO:root:Adding one toquantitative imagingnew mentions total14.0
INFO:root:Adding one torecently developednew mentions total22.0
INFO:root:Adding one towhole bodynew mentions total26.0
INFO:root:Adding one tohuman bodynew mentions total9.0
INFO:root:Adding one toet alnew mentions total45.0
INFO:root:Adding one toradiation dosenew mentions total125.0
INFO:root:Adding one toneural networknew mentions total36.0
INFO:root:Adding one toneural networksnew mentions total11.0
INFO:root:Adding one toimaging techniquesnew mentions total95.0
INFO:root:Adding one toimaging techniquenew mentions total59.0
INFO:root:Adding one tofeatures extractednew mentions total16.0
INFO:root:Adding one tochronic obstructive pulmonary diseasenew mentions total36.0
INFO:root:Adding one topulmonary function testsnew mentions total19.0
INFO:root:Adding one toanalysis identifiednew mentions total15.0
INFO:root:Adding one tomass spectrometrynew mentions total27.0
INFO:root:Adding one totumor responsenew mentions total21.0
INFO:root:Adding one togreat potentialnew mentions total35.0
INFO:root:Adding one toneural networknew mentions total37.0
INFO:root:Adding one toneural networksnew mentions total12.0
INFO:root:Adding one torecently proposednew mentions total10.0
INFO:root:Adding one totomographic imagingnew mentions total9.0
INFO:root:Adding one toneural networknew mentions total38.0
INFO:root:Adding one tofinite elementnew mentions total34.0
INFO:root:Adding one topulmonary nodulesnew mentions total13.0
INFO:root:Adding one toet alnew mentions total46.0
INFO:root:Adding one toimaging techniquenew mentions total60.0
INFO:root:Adding one toimaging systemnew mentions total46.0
INFO:root:Adding one towell knownnew mentions total17.0
INFO:root:Adding one toimaging systemnew mentions total47.0
INFO:root:Adding one tocervical cancernew mentions total43.0
INFO:root:Adding one toneural networknew mentions total27.0
INFO:root:Adding one tofirst stepnew mentions total19.0
INFO:root:Adding one tostructural changesnew mentions total61.0
INFO:root:Adding one towide varietynew mentions total20.0
INFO:root:Adding one toexisting methodsnew mentions total7.0
INFO:root:Adding one toet alnew mentions total49.0
INFO:root:Adding one tomajor challengenew mentions total14.0
INFO:root:Adding one tolarge numbernew mentions total43.0
INFO:root:Adding one tonew insightsnew mentions total27.0
INFO:root:Adding one toet alnew mentions total50.0
INFO:root:Adding one toneural networknew mentions total28.0
INFO:root:Adding one tonovel approachnew mentions total24.0
INFO:root:Adding one tobreast cancernew mentions total298.0
INFO:root:Adding one toneural networknew mentions total29.0
INFO:root:Adding one toneural networksnew mentions total7.0
INFO:root:Adding one toearly detectionnew mentions total74.0
INFO:root:Adding one tovalues obtainednew mentions total22.0
INFO:root:Adding one toneural networknew mentions total30.0
INFO:root:Adding one toet alnew mentions total51.0
INFO:root:Adding one towell understoodnew mentions total20.0
INFO:root:Adding one topreviously publishednew mentions total35.0
INFO:root:Adding one tofinite elementnew mentions total32.0
INFO:root:Adding one toexisting methodsnew mentions total8.0
INFO:root:Adding one toimages takennew mentions total12.0
INFO:root:Adding one totumor volumenew mentions total72.0
INFO:root:Adding one toquantitative imagingnew mentions total16.0
INFO:root:Adding one topreviously publishednew mentions total36.0
INFO:root:Adding one tototal numbernew mentions total22.0
INFO:root:Adding one toneural networknew mentions total31.0
INFO:root:Adding one togood qualitynew mentions total17.0
INFO:root:Adding one toneural networknew mentions total32.0
INFO:root:Adding one topoor qualitynew mentions total9.0
INFO:root:Adding one toet alnew mentions total52.0
INFO:root:Adding one tomajor challengenew mentions total15.0
INFO:root:Adding one toimaging techniquenew mentions total58.0
INFO:root:Adding one toultrasound imagesnew mentions total43.0
INFO:root:Adding one toet alnew mentions total53.0
INFO:root:Adding one toblood cellsnew mentions total9.0
INFO:root:Adding one tored bloodnew mentions total11.0
INFO:root:Adding one torecently developednew mentions total19.0
INFO:root:Adding one tonew insightsnew mentions total28.0
INFO:root:Adding one toet alnew mentions total54.0
INFO:root:Adding one toneural networknew mentions total33.0
INFO:root:Adding one toneural networksnew mentions total8.0
INFO:root:Adding one toimaging techniquesnew mentions total88.0
INFO:root:Adding one toimaging techniquenew mentions total59.0
INFO:root:Adding one tofeatures extractednew mentions total17.0
INFO:root:Adding one toquality imagesnew mentions total11.0
INFO:root:Adding one togreat potentialnew mentions total32.0
INFO:root:Adding one toneural networknew mentions total34.0
INFO:root:Adding one toneural networksnew mentions total9.0
INFO:root:Adding one torecently proposednew mentions total11.0
INFO:root:Adding one totomographic imagingnew mentions total16.0
INFO:root:Adding one toneural networknew mentions total35.0
INFO:root:Adding one tofinite elementnew mentions total33.0
INFO:root:Adding one topulmonary nodulesnew mentions total14.0
INFO:root:Adding one toimaging techniquenew mentions total60.0
INFO:root:Adding one tofinite elementnew mentions total34.0
INFO:root:Adding one toimaging techniquesnew mentions total89.0
INFO:root:Adding one toimaging techniquenew mentions total61.0
INFO:root:Adding one tofinite elementnew mentions total35.0
INFO:root:Adding one tobrain tumornew mentions total30.0
INFO:root:Adding one tobecome increasinglynew mentions total14.0
INFO:root:Adding one tomean squarenew mentions total21.0
INFO:root:Adding one tomean squarenew mentions total22.0
INFO:root:Adding one tomean squarenew mentions total23.0
INFO:root:Adding one toneural networknew mentions total27.0
INFO:root:Adding one tocommercially availablenew mentions total55.0
INFO:root:Adding one tocomputed tomography scansnew mentions total71.0
INFO:root:Adding one toneural networknew mentions total28.0
INFO:root:Adding one toneural networksnew mentions total16.0
INFO:root:Adding one toneural networknew mentions total29.0
INFO:root:Adding one tolarge numbernew mentions total37.0
INFO:root:Adding one toneural networknew mentions total30.0
INFO:root:Adding one tocontrast enhancednew mentions total24.0
INFO:root:Adding one tocardiovascular eventsnew mentions total39.0
INFO:root:Adding one toneural networksnew mentions total17.0
INFO:root:Adding one toimaging systemnew mentions total39.0
INFO:root:Adding one towell knownnew mentions total12.0
INFO:root:Adding one toimaging systemnew mentions total40.0
INFO:root:Adding one tocervical cancernew mentions total35.0
INFO:root:Adding one toet alnew mentions total83.0
INFO:root:Adding one toneural networknew mentions total31.0
INFO:root:Adding one tofirst stepnew mentions total27.0
INFO:root:Adding one tostructural changesnew mentions total76.0
INFO:root:Adding one towide varietynew mentions total17.0
INFO:root:Adding one toexisting methodsnew mentions total16.0
INFO:root:Adding one toet alnew mentions total84.0
INFO:root:Adding one tomagnetic resonance imagesnew mentions total40.0
INFO:root:Adding one toultrasound imagesnew mentions total40.0
INFO:root:Adding one tomajor challengenew mentions total14.0
INFO:root:Adding one tolarge numbernew mentions total38.0
INFO:root:Adding one tonew insightsnew mentions total14.0
INFO:root:Adding one toet alnew mentions total85.0
INFO:root:Adding one toneural networknew mentions total32.0
INFO:root:Adding one tonovel approachnew mentions total21.0
INFO:root:Adding one tobreast cancernew mentions total297.0
INFO:root:Adding one toneural networknew mentions total33.0
INFO:root:Adding one toneural networksnew mentions total18.0
INFO:root:Adding one toearly detectionnew mentions total75.0
INFO:root:Adding one tovalues obtainednew mentions total27.0
INFO:root:Adding one toneural networknew mentions total34.0
INFO:root:Adding one toet alnew mentions total86.0
INFO:root:Adding one towell understoodnew mentions total27.0
INFO:root:Adding one topreviously publishednew mentions total21.0
INFO:root:Adding one tofinite elementnew mentions total29.0
INFO:root:Adding one toimaging techniquenew mentions total63.0
INFO:root:Adding one toblood cellsnew mentions total16.0
INFO:root:Adding one tored bloodnew mentions total14.0
INFO:root:Adding one tonew insightsnew mentions total15.0
INFO:root:Adding one toneural networknew mentions total35.0
INFO:root:Adding one toneural networksnew mentions total19.0
INFO:root:Adding one toimaging techniquesnew mentions total109.0
INFO:root:Adding one toimaging techniquenew mentions total64.0
INFO:root:Adding one tofeatures extractednew mentions total24.0
INFO:root:Adding one toquality imagesnew mentions total17.0
INFO:root:Adding one togreat potentialnew mentions total35.0
INFO:root:Adding one toneural networknew mentions total36.0
INFO:root:Adding one toneural networksnew mentions total20.0
INFO:root:Adding one torecently proposednew mentions total8.0
INFO:root:Adding one totomographic imagingnew mentions total16.0
INFO:root:Adding one toneural networknew mentions total37.0
INFO:root:Adding one tofinite elementnew mentions total30.0
INFO:root:Adding one toimaging techniquesnew mentions total110.0
INFO:root:Adding one toimaging techniquenew mentions total65.0
INFO:root:Adding one tofinite elementnew mentions total31.0
INFO:root:Adding one tominimally invasivenew mentions total104.0
INFO:root:Adding one toimaging systemnew mentions total39.0
INFO:root:Adding one toneural networknew mentions total34.0
INFO:root:Adding one towell knownnew mentions total17.0
INFO:root:Adding one todifferent stagesnew mentions total27.0
INFO:root:Adding one toneural networknew mentions total35.0
INFO:root:Adding one toprovide informationnew mentions total42.0
INFO:root:Adding one toneural networknew mentions total36.0
INFO:root:Adding one tofirst stepnew mentions total29.0
INFO:root:Adding one topulmonary nodulesnew mentions total51.0
INFO:root:Adding one toneural networknew mentions total37.0
INFO:root:Adding one toneural networksnew mentions total17.0
INFO:root:Adding one torecent advancesnew mentions total44.0
INFO:root:Adding one toexisting methodsnew mentions total13.0
INFO:root:Adding one tomean squarenew mentions total23.0
INFO:root:Adding one toimaging techniquenew mentions total54.0
INFO:root:Adding one totime requirednew mentions total13.0
INFO:root:Adding one tostructural changesnew mentions total70.0
INFO:root:Adding one tomean squarenew mentions total24.0
INFO:root:Adding one towell understoodnew mentions total30.0
INFO:root:Adding one topaper proposenew mentions total23.0
INFO:root:Adding one towide varietynew mentions total23.0
INFO:root:Adding one toneural networknew mentions total38.0
INFO:root:Adding one toquality assessmentnew mentions total18.0
INFO:root:Adding one toet alnew mentions total77.0
INFO:root:Adding one tomajor challengenew mentions total13.0
INFO:root:Adding one toradiation dosenew mentions total127.0
INFO:root:Adding one tolarge numbernew mentions total34.0
INFO:root:Adding one toglucose metabolismnew mentions total30.0
INFO:root:Adding one tomild cognitive impairmentnew mentions total54.0
INFO:root:Adding one todifferent stagesnew mentions total28.0
INFO:root:Adding one toimages takennew mentions total11.0
INFO:root:Adding one toneural networknew mentions total39.0
INFO:root:Adding one toexisting methodsnew mentions total14.0
INFO:root:Adding one torectal cancernew mentions total48.0
INFO:root:Adding one tobrain tumornew mentions total22.0
INFO:root:Adding one tobecome increasinglynew mentions total15.0
INFO:root:Adding one tomean squarenew mentions total25.0
INFO:root:Adding one tomean squarenew mentions total26.0
INFO:root:Adding one tomean squarenew mentions total27.0
INFO:root:Adding one toneural networknew mentions total40.0
INFO:root:Adding one tocommercially availablenew mentions total51.0
INFO:root:Adding one tocomputed tomography scansnew mentions total91.0
INFO:root:Adding one toneural networknew mentions total41.0
INFO:root:Adding one toneural networksnew mentions total18.0
INFO:root:Adding one toneural networknew mentions total42.0
INFO:root:Adding one tolarge numbernew mentions total35.0
INFO:root:Adding one toneural networknew mentions total43.0
INFO:root:Adding one tocontrast enhancednew mentions total22.0
INFO:root:Adding one tocardiovascular eventsnew mentions total63.0
INFO:root:Adding one toneural networksnew mentions total19.0
INFO:root:Adding one toimaging systemnew mentions total40.0
INFO:root:Adding one towell knownnew mentions total18.0
INFO:root:Adding one toimaging systemnew mentions total41.0
INFO:root:Adding one tocervical cancernew mentions total23.0
INFO:root:Adding one toet alnew mentions total78.0
INFO:root:Adding one toneural networknew mentions total44.0
INFO:root:Adding one tofirst stepnew mentions total30.0
INFO:root:Adding one tostructural changesnew mentions total71.0
INFO:root:Adding one towide varietynew mentions total24.0
INFO:root:Adding one toexisting methodsnew mentions total15.0
INFO:root:Adding one toet alnew mentions total79.0
INFO:root:Adding one tomagnetic resonance imagesnew mentions total44.0
INFO:root:Adding one toultrasound imagesnew mentions total32.0
INFO:root:Adding one toimaging techniquesnew mentions total130.0
INFO:root:Adding one toimaging techniquenew mentions total55.0
INFO:root:Adding one tomajor challengenew mentions total14.0
INFO:root:Adding one toneural networknew mentions total45.0
INFO:root:Adding one tolarge numbernew mentions total36.0
INFO:root:Adding one tonew insightsnew mentions total22.0
INFO:root:Adding one toet alnew mentions total80.0
INFO:root:Adding one toneural networknew mentions total46.0
INFO:root:Adding one tonovel approachnew mentions total18.0
INFO:root:Adding one toliver lesionsnew mentions total35.0
INFO:root:Adding one toimaging techniquenew mentions total56.0
INFO:root:Adding one toblood cellsnew mentions total23.0
INFO:root:Adding one tored bloodnew mentions total18.0
INFO:root:Adding one tonew insightsnew mentions total23.0
INFO:root:Adding one tocomputed tomography scansnew mentions total92.0
INFO:root:Adding one tomaxillary sinusnew mentions total63.0
INFO:root:Adding one toprovide informationnew mentions total43.0
INFO:root:Adding one toadditional informationnew mentions total27.0
INFO:root:Adding one toquality imagesnew mentions total15.0
INFO:root:Adding one tolung diseasenew mentions total49.0
INFO:root:Adding one totexture featuresnew mentions total27.0
INFO:root:Adding one tofinite elementnew mentions total54.0
INFO:root:Adding one toimaging techniquesnew mentions total131.0
INFO:root:Adding one toimaging techniquenew mentions total57.0
INFO:root:Adding one tofinite elementnew mentions total55.0
INFO:root:Adding one toneural networknew mentions total43.0
INFO:root:Adding one toneural networksnew mentions total23.0
INFO:root:Adding one tohuman bodynew mentions total17.0
INFO:root:Adding one tomajor challengenew mentions total23.0
INFO:root:Adding one torecently proposednew mentions total17.0
INFO:root:Adding one toexisting methodsnew mentions total17.0
INFO:root:Adding one topaper proposenew mentions total25.0
INFO:root:Adding one totomographic imagingnew mentions total11.0
INFO:root:Adding one torecently proposednew mentions total18.0
INFO:root:Adding one tocontrast agentnew mentions total109.0
INFO:root:Adding one tominimally invasivenew mentions total105.0
INFO:root:Adding one toimaging systemnew mentions total15.0
INFO:root:Adding one toneural networknew mentions total44.0
INFO:root:Adding one toneural networknew mentions total45.0
INFO:root:Adding one tocontrast agentnew mentions total110.0
INFO:root:Adding one toimaging techniquenew mentions total59.0
INFO:root:Adding one tononinvasive imagingnew mentions total37.0
INFO:root:Adding one tofinite elementnew mentions total59.0
INFO:root:Adding one toionizing radiationnew mentions total49.0
INFO:root:Adding one towell knownnew mentions total25.0
INFO:root:Adding one todifferent stagesnew mentions total21.0
INFO:root:Adding one toneural networknew mentions total46.0
INFO:root:Adding one toprovide informationnew mentions total49.0
INFO:root:Adding one toneural networknew mentions total47.0
INFO:root:Adding one toneural networksnew mentions total24.0
INFO:root:Adding one toneural networknew mentions total48.0
INFO:root:Adding one toneural networksnew mentions total25.0
INFO:root:Adding one toneural networknew mentions total49.0
INFO:root:Adding one tofirst stepnew mentions total39.0
INFO:root:Adding one topulmonary nodulesnew mentions total59.0
INFO:root:Adding one toneural networknew mentions total50.0
INFO:root:Adding one toneural networksnew mentions total26.0
INFO:root:Adding one torecent advancesnew mentions total43.0
INFO:root:Adding one toexisting methodsnew mentions total18.0
INFO:root:Adding one tomean squarenew mentions total15.0
INFO:root:Adding one toimaging techniquenew mentions total60.0
INFO:root:Adding one totime requirednew mentions total17.0
INFO:root:Adding one tostructural changesnew mentions total69.0
INFO:root:Adding one tomean squarenew mentions total16.0
INFO:root:Adding one towell understoodnew mentions total37.0
INFO:root:Adding one topaper proposenew mentions total26.0
INFO:root:Adding one towide varietynew mentions total31.0
INFO:root:Adding one toneural networknew mentions total51.0
INFO:root:Adding one toquality assessmentnew mentions total21.0
INFO:root:Adding one toet alnew mentions total69.0
INFO:root:Adding one tomajor challengenew mentions total24.0
INFO:root:Adding one toradiation dosenew mentions total123.0
INFO:root:Adding one towell understoodnew mentions total38.0
INFO:root:Adding one tolarge numbernew mentions total29.0
INFO:root:Adding one toglucose metabolismnew mentions total41.0
INFO:root:Adding one tomild cognitive impairmentnew mentions total61.0
INFO:root:Adding one todifferent stagesnew mentions total22.0
INFO:root:Adding one toimages takennew mentions total17.0
INFO:root:Adding one toneural networknew mentions total52.0
